県名,電圧kV,No,変電所名,電圧,台数,設備容量MW,運用容量値MW,運用容量制約要因,空容量_当該設備MW,空容量_上位系等考慮MW,N1電制_適用可否,N1電制_適用可能量MW,平常時出力制御の可能性,平常時出力制御_当該設備,平常時出力制御_上位系設備,備考
茨城県,154,1,那珂,275/154,4,1701,1530,熱容量,0,0,可,0,有り,対象,変2，送11,抑制が必要となる設備には変4含む 上位系（送11）による制約
茨城県,154,2,新筑波,500/154,4,2825,2538,熱容量,301,0,可,287,有り,-,送52，変4,抑制が必要となる設備には変2、送 11含む 上位系（変4）による制約
茨城県,154,3,鹿島,275/154,2,852,513,熱容量,411,0,可,339,有り,-,送46，送39,抑制が必要となる設備には送47含 む 上位系（送39）による制約
茨城県,154,4,水戸北部,154/66,2,186,186,熱容量,130,0,不可 ♯２,-,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上 位系（送茨城154kV7）による制約
茨城県,154,5,茨城,154/66,4,537,429,熱容量,0,0,可,3,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上 位系（送茨城154kV8）による制約
茨城県,154,6,西水戸,154/66,3,563,450,熱容量,54,0,可,113,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上 位系（送茨城154kV2）による制約
茨城県,154,7,石岡,154/66,4,563,537,熱容量,0,0,可,0,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上 位系（送茨城154kV2）による制約
茨城県,154,8,霞ヶ浦,154/66,4,557,444,熱容量,0,0,可,0,有り,-,送52，変4,抑制が必要となる設備には変2、送 11含む 上位系（変4）による制約
茨城県,154,1,常磐,275/66,2,569,342,熱容量,0,0,可,0,有り,対象,変2，送11,抑制が必要となる設備には変4含む 上位系（送11）による制約
茨城県,154,2,常総,275/66,5,1227,1131,熱容量,685,0,可,96,有り,-,送52，送50，送45,上位系（送45）による制約
茨城県,154,3,筑波南,275/66,2,566,342,熱容量,0,0,可,0,有り,対象,送52，送50，送45,上位系（送45）による制約
茨城県,154,4,"鹿島5,7,8B",275/66,3,649,453,熱容量,22,0,可,196,有り,-,送46，送39,上位系（送39）による制約
茨城県,154,5,水戸北部,154/66,2,186,186,熱容量,130,0,不可 ♯２,-,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上 位系（送茨城154kV7）による制約
茨城県,154,6,茨城,154/66,4,560,429,熱容量,0,0,可,26,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上 位系（変茨城154kV5）による制約
茨城県,154,7,西水戸,154/66,3,563,450,熱容量,54,0,可,113,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上 位系（送茨城154kV2）による制約
茨城県,154,8,石岡,154/66,4,509,394,熱容量,0,0,可,0,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上 位系（変茨城154kV7）による制約
茨城県,154,9,霞ヶ浦,154/66,4,557,444,熱容量,0,0,可,0,有り,-,送52，変4,抑制が必要となる設備には変2、送11含 む 上位系（変茨城154kV8）による制約
茨城県,154,10,鹿島6B,275/66,1,285,285,熱容量,40,0,不可 ♯２,-,有り,-,送46，送39,抑制が必要となる設備には送47含 む 上位系（送39）による制約
茨城県,22,1,五霞,154/22,1,19,19,熱容量,15,0,不可 ♯２,-,有り,-,送52,上位系（送52）による制約
茨城県,22,2,筑波西部,154/22,2,57,28,熱容量,28,0,不可 ♯２,-,有り,-,送47,抑制が必要となる設備には送46含 む 上位系（送47）による制約
